18:12:50
2024-05-22 18:12:12 - CPU: 1.0%, Memory: 0.68%
2024-05-22 18:12:14 - CPU: 1.0%, Memory: 0.68%
2024-05-22 18:12:16 - CPU: 2.0%, Memory: 0.68%
2024-05-22 18:12:18 - CPU: 1.0%, Memory: 0.69%
2024-05-22 18:12:20 - CPU: 1.0%, Memory: 0.69%
2024-05-22 18:12:22 - CPU: 1.0%, Memory: 0.69%
2024-05-22 18:12:24 - CPU: 0.0%, Memory: 0.69%
2024-05-22 18:12:26 - CPU: 1.0%, Memory: 0.70%
2024-05-22 18:12:28 - CPU: 3.0%, Memory: 0.71%
2024-05-22 18:12:30 - CPU: 0.0%, Memory: 0.71%
2024-05-22 18:12:32 - CPU: 1.0%, Memory: 0.71%
2024-05-22 18:12:34 - CPU: 2.0%, Memory: 0.71%
2024-05-22 18:12:36 - CPU: 1.0%, Memory: 0.71%
2024-05-22 18:12:38 - CPU: 0.0%, Memory: 0.71%
2024-05-22 18:12:40 - CPU: 2.0%, Memory: 0.71%
2024-05-22 18:12:42 - CPU: 2.0%, Memory: 0.71%
2024-05-22 18:12:44 - CPU: 1.0%, Memory: 0.71%
2024-05-22 18:12:46 - CPU: 3.0%, Memory: 0.71%
2024-05-22 18:12:48 - CPU: 0.0%, Memory: 0.72%
2024-05-22 18:12:50 - CPU: 2.0%, Memory: 0.72%
2024-05-22 18:12:52 - CPU: 2.0%, Memory: 0.72%
2024-05-22 18:12:54 - CPU: 2.0%, Memory: 0.72%
2024-05-22 18:12:56 - CPU: 2.0%, Memory: 0.72%
2024-05-22 18:12:58 - CPU: 2.0%, Memory: 0.72%
2024-05-22 18:13:00 - CPU: 3.0%, Memory: 0.72%
2024-05-22 18:13:02 - CPU: 1.0%, Memory: 0.72%
2024-05-22 18:13:04 - CPU: 2.0%, Memory: 0.73%
2024-05-22 18:13:06 - CPU: 2.0%, Memory: 0.73%
2024-05-22 18:13:08 - CPU: 3.0%, Memory: 0.73%
2024-05-22 18:13:10 - CPU: 3.0%, Memory: 0.75%
2024-05-22 18:13:12 - CPU: 1.0%, Memory: 0.75%
2024-05-22 18:13:14 - CPU: 2.0%, Memory: 0.76%
2024-05-22 18:13:16 - CPU: 2.0%, Memory: 0.77%
2024-05-22 18:13:18 - CPU: 3.0%, Memory: 0.78%
2024-05-22 18:13:20 - CPU: 3.0%, Memory: 0.79%
2024-05-22 18:13:22 - CPU: 1.0%, Memory: 0.79%
2024-05-22 18:13:24 - CPU: 2.0%, Memory: 0.80%
2024-05-22 18:13:26 - CPU: 3.0%, Memory: 0.80%
2024-05-22 18:13:28 - CPU: 3.0%, Memory: 0.80%
2024-05-22 18:13:30 - CPU: 1.0%, Memory: 0.81%
2024-05-22 18:13:32 - CPU: 3.0%, Memory: 0.81%
2024-05-22 18:13:34 - CPU: 2.0%, Memory: 0.81%
2024-05-22 18:13:36 - CPU: 1.0%, Memory: 0.81%
2024-05-22 18:13:38 - CPU: 1.0%, Memory: 0.81%
2024-05-22 18:13:40 - CPU: 3.0%, Memory: 0.81%
2024-05-22 18:13:42 - CPU: 3.0%, Memory: 0.81%
2024-05-22 18:13:44 - CPU: 3.0%, Memory: 0.81%
2024-05-22 18:13:46 - CPU: 2.0%, Memory: 0.81%
2024-05-22 18:13:48 - CPU: 1.0%, Memory: 0.81%
2024-05-22 18:13:50 - CPU: 1.0%, Memory: 0.81%
2024-05-22 18:13:52 - CPU: 3.0%, Memory: 0.81%
2024-05-22 18:13:54 - CPU: 3.0%, Memory: 0.82%
2024-05-22 18:13:56 - CPU: 3.0%, Memory: 0.82%
2024-05-22 18:13:58 - CPU: 2.0%, Memory: 0.82%
2024-05-22 18:14:00 - CPU: 1.0%, Memory: 0.82%
2024-05-22 18:14:02 - CPU: 2.0%, Memory: 0.82%
2024-05-22 18:14:04 - CPU: 3.0%, Memory: 0.82%
2024-05-22 18:14:06 - CPU: 3.0%, Memory: 0.82%
2024-05-22 18:14:08 - CPU: 3.0%, Memory: 0.82%
2024-05-22 18:14:10 - CPU: 2.0%, Memory: 0.82%
2024-05-22 18:14:12 - CPU: 2.0%, Memory: 0.82%
2024-05-22 18:14:14 - CPU: 2.0%, Memory: 0.82%
2024-05-22 18:14:16 - CPU: 3.0%, Memory: 0.82%
2024-05-22 18:14:18 - CPU: 2.0%, Memory: 0.83%
2024-05-22 18:14:20 - CPU: 1.0%, Memory: 0.83%
2024-05-22 18:14:22 - CPU: 3.0%, Memory: 0.83%
2024-05-22 18:14:24 - CPU: 2.0%, Memory: 0.83%
2024-05-22 18:14:26 - CPU: 2.0%, Memory: 0.83%
2024-05-22 18:14:28 - CPU: 2.0%, Memory: 0.83%
2024-05-22 18:14:30 - CPU: 2.0%, Memory: 0.83%
2024-05-22 18:14:32 - CPU: 2.0%, Memory: 0.83%
2024-05-22 18:14:34 - CPU: 2.0%, Memory: 0.83%
2024-05-22 18:14:36 - CPU: 3.0%, Memory: 0.83%
2024-05-22 18:14:38 - CPU: 3.0%, Memory: 0.83%
2024-05-22 18:14:40 - CPU: 3.0%, Memory: 0.83%
2024-05-22 18:14:42 - CPU: 3.0%, Memory: 0.83%
2024-05-22 18:14:44 - CPU: 1.0%, Memory: 0.83%
2024-05-22 18:14:46 - CPU: 3.0%, Memory: 0.83%
